Symbol,Lotsize
BANKNIFTY,35
NIFTY,75
NIFTYNXT50,25
FINNIFTY,65
MIDCPNIFTY,140
360ONE,500
ADANIENT,300
ALKEM,125
ADANIGREEN,600
AMBUJACEM,1050
ASHOKLEY,5000
AUROPHARMA,550
ABB,125
ABCAPITAL,3100
ADANIPORTS,475
BEL,2850
BHEL,2625
APLAPOLLO,350
BRITANNIA,125
APOLLOHOSP,125
ASIANPAINT,250
ASTRAL,425
ATGL,875
BSE,375
AUBANK,1000
AXISBANK,625
BANKBARODA,2925
BDL,325
BHARATFORG,500
BHARTIARTL,475
BLUESTARCO,325
ABFRL,2600
BOSCHLTD,25
BPCL,1975
CAMS,150
CANBK,6750
CESC,3625
CHOLAFIN,625
CIPLA,375
CGPOWER,850
CUMMINSIND,200
CYIENT,425
DALBHARAT,325
DRREDDY,625
ANGELONE,250
EICHERMOT,175
ETERNAL,2425
FEDERALBNK,5000
FORTIS,775
COLPAL,225
GAIL,3150
GLENMARK,375
GRASIM,250
HDFCAMC,150
HDFCBANK,550
HDFCLIFE,1100
HEROMOTOCO,150
HFCL,6450
HINDPETRO,2025
HINDUNILVR,300
ICICIBANK,700
BAJAJ-AUTO,75
IGL,2750
INDHOTEL,1000
INDIANB,1000
INDIGO,150
GMRAIRPORT,6975
INDUSINDBK,700
INDUSTOWER,1700
IRCTC,875
JINDALSTEL,625
JIOFIN,2350
KALYANKJIL,1175
KAYNES,100
HCLTECH,350
KEI,175
LAURUSLABS,1700
LICHSGFIN,1000
HINDALCO,1400
LT,175
LTF,4462
LTIM,150
LUPIN,425
MANAPPURAM,3000
MARICO,1200
MARUTI,50
MAZDOCK,175
ICICIGI,325
MCX,125
MFSL,800
NCC,2700
ICICIPRULI,925
NESTLEIND,250
NHPC,6400
NMDC,13500
NTPC,1500
NYKAA,3125
OBEROIRLTY,350
OFSS,75
PAGEIND,15
IIFL,1650
PHOENIXLTD,350
PIDILITIND,250
PIIND,175
POONAWALLA,1700
POWERGRID,1900
PPLPHARMA,2500
PRESTIGE,450
RELIANCE,500
INFY,400
BAJAJFINSV,500
SAIL,4700
SBICARD,800
IREDA,3450
SBILIFE,375
BANDHANBNK,3600
JSL,850
SBIN,750
JSWENERGY,1000
SHREECEM,25
JUBLFOOD,1250
SHRIRAMFIN,825
SIEMENS,125
SOLARINDS,75
SRF,200
SUPREMEIND,175
SYNGENE,1000
TATACONSUM,550
TATAELXSI,100
TATASTEEL,5500
TATATECH,800
TIINDIA,200
TORNTPHARM,250
TORNTPOWER,375
TRENT,100
CDSL,475
BANKINDIA,5200
ULTRACEMCO,50
UNOMINDA,550
VBL,1025
VEDL,1150
VOLTAS,375
WIPRO,3000
BIOCON,2500
MUTHOOTFIN,275
DIVISLAB,100
COFORGE,375
NBCC,6500
DIXON,50
DLF,825
DMART,150
OIL,1400
PATANJALI,300
011NSETEST,50
021NSETEST,50
031NSETEST,50
041NSETEST,50
051NSETEST,50
PETRONET,1800
061NSETEST,50
071NSETEST,50
081NSETEST,50
091NSETEST,50
101NSETEST,50
111NSETEST,50
GODREJPROP,275
121NSETEST,50
131NSETEST,50
141NSETEST,50
151NSETEST,50
161NSETEST,50
HAVELLS,500
HUDCO,2775
GODREJCP,500
GRANULES,1075
IEX,3750
POLICYBZR,350
RBLBANK,3175
RVNL,1375
IRFC,4250
ITC,1600
SJVN,5875
KOTAKBANK,400
KPITTECH,400
LICI,700
LODHA,450
TATAPOWER,1450
MANKIND,225
TCS,175
NATIONALUM,3750
NAUKRI,375
PAYTM,725
PFC,1300
ZYDUSLIFE,900
PNB,8000
POLYCAB,125
TATACHEM,650
MOTHERSON,6150
TITAGARH,725
TITAN,175
UPL,1355
AMBER,100
COALINDIA,1350
CONCOR,1250
CROMPTON,1800
DABUR,1250
EXIDEIND,1800
HAL,150
IDFCFIRSTB,9275
PGEL,700
SUNPHARMA,350
TATAMOTORS,800
TVSMOTOR,350
UNITDSPR,400
SONACOMS,1050
DELHIVERY,2075
HINDZINC,1225
IDEA,71475
IOC,4875
JSWSTEEL,675
KFINTECH,450
M&M,200
ONGC,2250
PNBHOUSING,650
MAXHEALTH,525
MPHASIS,275
RECLTD,1275
PERSISTENT,100
TECHM,600
ADANIENSOL,675
IRB,11675
BAJFINANCE,750
171NSETEST,50
181NSETEST,50
UNIONBANK,4425
INOXWIND,3272
BANK,35
NUVAMA,75
SUZLON,8000
YESBANK,31100
